fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,1e-05,resize_smaller_hu_m600_1500_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,1e-05,resize_smaller_hu_m600_1500_separadas
2,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,4,1e-05,resize_smaller_hu_m600_1500_separadas
2,TEST,0.48,0.5517241379310345,0.6666666666666666,0.3076923076923077,0.4529108136578383,4,1e-05,resize_smaller_hu_m600_1500_separadas
3,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,4,1e-05,resize_smaller_hu_m600_1500_separadas
3,TEST,0.68,0.75,1.0,0.38461538461538464,0.6201736729460423,4,1e-05,resize_smaller_hu_m600_1500_separadas
4,VALIDATION,0.55,0.0,0.0,1.0,0.0,4,1e-05,resize_smaller_hu_m600_1500_separadas
4,TEST,0.52,0.0,0.0,1.0,0.0,4,1e-05,resize_smaller_hu_m600_1500_separadas
5,VALIDATION,0.75,0.8,1.0,0.5,0.7071067811865476,4,1e-05,resize_smaller_hu_m600_1500_separadas
5,TEST,0.76,0.7692307692307693,0.9090909090909091,0.6428571428571429,0.7644707871564383,4,1e-05,resize_smaller_hu_m600_1500_separadas
MEAN,VALIDATION,0.5800000000000001,0.5256963725929242,0.6888888888888889,0.4818181818181818,0.3704354107520582,4,1e-05,resize_smaller_hu_m600_1500_separadas
MEAN,TEST,0.584,0.5439207111620905,0.7151515151515151,0.46703296703296704,0.3675110547520638,4,1e-05,resize_smaller_hu_m600_1500_separadas
1,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,4,0.0001,resize_smaller_hu_m600_1500_separadas
1,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,4,0.0001,resize_smaller_hu_m600_1500_separadas
2,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,4,0.0001,resize_smaller_hu_m600_1500_separadas
2,TEST,0.56,0.6857142857142857,1.0,0.15384615384615385,0.3922322702763681,4,0.0001,resize_smaller_hu_m600_1500_separadas
3,VALIDATION,0.55,0.4,0.3333333333333333,0.7272727272727273,0.49236596391733095,4,0.0001,resize_smaller_hu_m600_1500_separadas
3,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,4,0.0001,resize_smaller_hu_m600_1500_separadas
4,VALIDATION,0.5,0.6428571428571429,1.0,0.09090909090909091,0.30151134457776363,4,0.0001,resize_smaller_hu_m600_1500_separadas
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,4,0.0001,resize_smaller_hu_m600_1500_separadas
